,YearsExperience,Salary
0,32.0,1248638.0
1,1.3,55180.0
2,13.8,409020.0
3,11.2,303331.0
4,36.8,1470319.0
5,33.8,1332892.0
6,44.6,1969478.0
7,4.3,124400.0
8,21.1,703258.0
9,1.5,61770.0
10,10.9,302454.0
11,25.3,867176.0
12,1.3,50637.0
13,9.9,277414.0
14,32.5,1230795.0
15,27.2,947111.0
16,11.0,302272.0
17,29.5,1103818.0
18,40.5,1789943.0
19,0.3,33098.0
20,40.3,1715499.0
21,34.9,1396148.0
22,17.0,498601.0
23,7.8,206677.0
24,47.9,2190950.0
25,16.8,482675.0
26,4.6,120054.0
27,4.8,130564.0
28,42.4,1888391.0
29,30.2,1137699.0
30,40.4,1725491.0
31,36.5,1448289.0
32,26.8,930378.0
33,48.7,2346914.0
34,18.9,590388.0
35,27.6,961669.0
36,41.5,1784040.0
37,30.9,1137873.0
38,43.1,1896092.0
39,28.9,1057836.0
40,35.2,1427859.0
41,2.3,70625.0
42,11.4,303559.0
43,14.5,418270.0
44,4.0,114814.0
45,11.6,305474.0
46,5.1,136310.0
47,13.9,410914.0
48,31.8,1196127.0
49,18.2,582455.0
50,18.5,585506.0
51,10.5,287530.0
52,13.3,375908.0
53,46.8,2165408.0
54,32.4,1225040.0
55,30.5,1128748.0
56,8.6,231443.0
57,36.5,1513029.0
58,8.2,227584.0
59,19.0,569932.0
60,49.5,2379563.0
61,32.0,1200913.0
62,27.8,990839.0
63,34.2,1378290.0
64,42.1,1869409.0
65,38.8,1609618.0
66,11.5,313367.0
67,1.6,51417.0
68,15.8,445327.0
69,13.4,363556.0
70,10.5,297297.0
71,47.1,2194067.0
72,43.8,2022935.0
73,15.7,450802.0
74,32.8,1271052.0
75,19.8,604812.0
76,45.7,2106335.0
77,22.9,749976.0
78,13.2,381244.0
79,12.3,360114.0
80,28.1,994064.0
81,13.1,375865.0
82,29.2,1059214.0
83,44.9,1999506.0
84,20.0,633238.0
85,11.0,308883.0
86,49.9,2424568.0
87,25.5,879678.0
88,4.5,121361.0
89,2.4,79290.0
90,5.5,141678.0
91,31.4,1192062.0
92,39.6,1671693.0
93,21.1,694036.0
